Id,lng,lat
Aruba,-70.1,12.55
Afghanistan,69.2,34.51667
Angola,13.25,-8.833333
Anguilla,-63.06667,18.21667
Albania,19.81667,41.33333
Andorra,1.5,42.5
Netherland Antilles,-68.93333,12.1
United Arab Emirates,54.41667,24.46667
Argentina,-58.5,-34.66667
Armenia,44.5,40.18333
French Southern Antartic territories,-140,-66.66666
Antigua and Barbuda,-61.83333,17.13333
Australia,151.1667,-33.88334
Austria,16.36667,48.21667
Azerbaijan,49.88334,40.36666
Burundi,29.31667,-3.366667
Belgium and Luxembourg,4.35,50.83333
Benin,2.517,6.4
Burkina Faso,-1.666667,12.33333
Bangladesh,90.36667,23.7
Bulgaria,23.3,42.66667
Bahrain,50.63334,26.2
Bahamas,-77.33334,25.08333
Bosnia and Herzegovina,18.43333,43.86666
Belarus,27.5,53.85
Belize,-88.8,17.21667
Bermuda,-64.8,32.3
Bolivia,-68.16666,-16.5
Brazil,-46.63,-23.53
Barbados,-59.61666,13.1
Brunei Darussalam,114.9667,4.933333
Bhutan,89.75,27.53333
Botswana,25.91667,-24.75
Central African Republic,18.61667,4.383333
Canada,-79.38,43.65
Cocos (Keeling) Islands,96.83334,-12.5
Switzerland,7.433333,46.95
Chile,-70.66666,-33.5
China,116.4333,39.91667
Côte d'Ivoire,-5.28,6.82
Cameroon,11.51667,3.85
Congo,15.23333,-4.233333
Cook Islands,-159.7667,-21.2
Colombia,-75.06667,4.633333
Comoros,43.26667,-11.66667
Cape Verde,-23.5,14.91667
Costa Rica,-84.06667,9.983334
Cuba,-82.41666,23.11667
Christmas Island,105.7167,-10.41667
Cayman Islands,-81.38333,19.3
Cyprus,33.35,35.15
Czech Republic,14.43333,50.1
Germany,13.417,52.533
Djibouti,43.15,11.6
Dominica,-61.38334,15.3
Denmark,12.58333,55.66667
Dominican Republic,-69.78333,18.5
Algeria,3,36.83333
Ecuador,-78.5,-0.2333333
Egypt,31.25,30.05
Eritrea,38.88334,15.33333
Western Sahara,-13.18333,27.16667
Spain,-3.716667,40.41667
Estonia,24.75,59.41667
Ethiopia,38.83333,9.05
Finland,25,60.13334
Fiji,178.4167,-18.13333
Falkland Islands,-57.85,-51.7
France,2.333333,48.86666
Faroe Islands,-6.766667,62.01667
Micronesia (Federated States of),158.25,6.916667
Gabon,9.416667,0.3833333
United Kingdom,-0.1666667,51.5
Georgia,44.81667,41.71667
Ghana,-0.25,5.55
